Gene	Treatment B label
CXXC4	5.4
CXXC5	5.01
CYB561	-7.81
CYB561A3	3.62
CYB561D1	-1.59
CYB561D2	-4.53
CYB5A	3.76
CYB5B	9.51
CYB5D1	-1.62
CYB5D2	-3.43
CYB5R1	-5.91
CYB5R2	6.23
CYB5R3	4.32
CYB5R4	2.11
CYB5RL	8.24
CYBA	7.77
CYBB	-4.66
CYBRD1	-3.16
CYC1	-2.09
CYCS	-7.26
CYFIP1	0.96
CYFIP2	5.86
CYGB	-3.89
CYHR1	0.9
CYLC1	7.18
CYLC2	0.33
CYLD	3.55
CYorf17	2.44
CYP11A1	-6.55
CYP11B1	9.13
CYP11B2	-6.5
CYP17A1	-1.29
CYP19A1	6.38
CYP1A1	5.95
CYP1A2	-4.63
CYP1B1	3.49
CYP20A1	5.83
CYP21A2	-2.41
CYP24A1	-3.38
CYP26A1	-2.17
CYP26B1	8.61
CYP26C1	1.14
CYP27A1	3.99
CYP27B1	-3.86
CYP27C1	0.71
CYP2A13	-5.22
CYP2A6	6.92
CYP2A7	3.82
CYP2B6	5.67
CYP2C18	-3.5
CYP2C19	7.34
CYP2C8	-0.56
CYP2C9	-9.42
CYP2D6	-8.78
CYP2E1	-5.61
CYP2F1	-7.18
CYP2J2	-5.3
CYP2R1	1.12
CYP2S1	-7.22
CYP2U1	-2.75
CYP2W1	2.68
CYP39A1	-2.23
CYP3A4	-5.68
CYP3A43	-3.39
CYP3A5	-9.86
CYP3A7	7.68
CYP46A1	2.67
CYP4A11	1.78
CYP4A22	2.13
CYP4B1	-8.96
CYP4F11	7.35
CYP4F12	3.13
CYP4F2	1.65
CYP4F22	-4.16
CYP4F3	-1.51
CYP4F8	-6.01
CYP4V2	-3.47
CYP4X1	-7.75
CYP4Z1	-3.88
CYP51A1	-3.95
CYP7A1	-8.78
CYP7B1	-1.63
CYP8B1	5.44
CYR61	6.22
CYS1	-1.83
CYSLTR1	0.49
CYSLTR2	-6.48
CYSTM1	6.14
CYTH1	8.91
CYTH2	-4.87
CYTH3	5.32
CYTH4	-7.47
CYTIP	-7.69
CYTL1	9.44
CYYR1	-4.34
D2HGDH	5.32
DAAM1	-9.06
DAAM2	-4.08
DAB1	-2.98
DAB2	-8.84
DAB2IP	8.92
DACH1	2.27
DACH2	-0.8
DACT1	9.53
DACT2	-3.08
DACT3	0.33
DAD1	-0.85
DAG1	-5.18
DAGLA	-7.91
DAGLB	-1.71
DAK	-8.81
DALRD3	1.72
DAND5	-0.46
DAO	6.34
DAOA	-4.65
DAP	7.12
DAP3	0.56
DAPK1	3.34
DAPK2	-5.18
DAPK3	0.58
DAPL1	-2.13
DAPP1	6.57
DARC	-8.32
DARS	0.63
DARS2	-3.26
DAW1	-0.26
DAXX	4.76
DAZ1	-7.89
DAZ2	6.97
DAZ3	-3.57
DAZ4	1.79
DAZAP1	-6.92
DAZAP2	-4.2
DAZL	0.87
DBF4	-0.89
DBF4B	-4.93
DBH	-7.42
DBI	-3.76
DBN1	6.96
DBNDD1	3.03
DBNDD2	-9.83
DBNL	3.66
DBP	1.49
DBR1	2.4
DBT	0.09
DBX1	-3.66
DBX2	9.31
DCAF10	-4.45
DCAF11	0.61
DCAF12	-1.94
DCAF12L1	-3.13
DCAF12L2	-8.86
DCAF13	1.19
DCAF15	-6.47
DCAF16	-1.29
DCAF17	1.48
DCAF4	6.21
DCAF4L1	2.7
DCAF4L2	-7.34
DCAF5	-6.19
DCAF6	3.4
DCAF7	-1.39
DCAF8	-1.66
DCAF8L1	4.07
DCAF8L2	9.88
DCAKD	-1.21
DCBLD1	5.96
DCBLD2	-9.47
DCC	1.7
DCD	-6.99
DCDC1	8.46
DCDC2	7.67
DCDC2B	8.84
DCDC2C	-7.9
DCDC5	7.15
DCHS1	-4.95
DCHS2	-4.23
DCK	-3.97
DCLK1	-2.5
DCLK2	-9.74
DCLK3	-9.26
DCLRE1A	4.83
DCLRE1B	1.88
DCLRE1C	9.67
DCN	7.77
DCP1A	-5.75
DCP1B	-6.91
DCP2	2.98
DCPS	6.98
DCST1	-5.09
DCST2	2.6
DCSTAMP	-3.78
DCT	-7.66
DCTD	4.96
DCTN1	3.51
DCTN2	2.29
DCTN3	-1.29
DCTN4	-9.46
DCTN5	-4.21
DCTN6	0.01
DCTPP1	0.78
DCUN1D1	0.55
DCUN1D2	-8.92
DCUN1D3	0.94
DCUN1D4	-4.83
DCUN1D5	7.81
DCX	8
DCXR	2.97
DDA1	7.03
DDAH1	-0.73
DDAH2	4.01
DDB1	-1.09
DDB2	8.72
DDC	9.61
DDHD1	-6.45
DDHD2	4.39
DDI1	-2.12
DDI2	7.67
DDIT3	-0.4
DDIT4	7.28
DDIT4L	3.32
DDN	8.51
DDO	-5.98
DDOST	-6.11
DDR1	1.32
DDR2	2.97
DDRGK1	9.88
DDT	2.46
DDTL	-3.35
DDX1	-9.67
DDX10	-0.62
DDX11	6.32
DDX17	6.81
DDX18	-9.47
DDX19A	9.32
DDX19B	1.1
DDX20	-7.85
DDX21	3.27
DDX23	4.83
DDX24	6.71
DDX25	-0.01
DDX26B	4.18
DDX27	6.43
DDX28	-7
DDX31	-7.53
DDX39A	4.68
DDX39B	4.32
DDX3X	-8.56
DDX3Y	5.04
DDX4	2.95
DDX41	0.31
DDX42	8.09
DDX43	-8.93
DDX46	-8.58
DDX47	-6.65
DDX49	1.83
DDX5	-5.37
DDX50	0.82
DDX51	5.15
DDX52	3.36
DDX53	9.69
DDX54	1.96
DDX55	-8.51
DDX56	-6.98
DDX58	-7.24
DDX59	5.46
DDX6	1.26
DDX60	0.72
DDX60L	2.85
DEAF1	-1.54
DEC1	-9.23
DECR1	6.71
DECR2	-8.02
DEDD	5.12
DEDD2	6.33
DEF6	-9.14
DEF8	5.33
DEFA1	-6.73
DEFA1B	-2.99
DEFA3	2.7
DEFA4	-8.26
DEFA5	-0.81
DEFA6	5.28
DEFB1	-3.2
DEFB103A	-3.26
DEFB103B	0.93
DEFB104A	-4.52
DEFB104B	4.76
DEFB105A	-2.95
DEFB105B	7.88
DEFB106A	6.91
DEFB106B	1.3
DEFB108B	-5.01
DEFB110	-4.62
DEFB112	-6.74
DEFB113	4.82
DEFB114	9.99
DEFB115	3.32
DEFB116	-7.06
DEFB118	5.34
DEFB119	7.87
DEFB121	-4.38
DEFB123	-2.26
DEFB124	3.63
DEFB125	7.74
DEFB126	2.54
DEFB127	-0.86
DEFB128	-4.3
DEFB129	-2.22
DEFB130	-2.6
DEFB132	-1.72
DEFB134	-9.82
DEFB135	1.94
DEFB136	-1.77
DEFB4A	9.19
DEFB4B	-9.43
DEGS1	-1.21
DEGS2	-0.75
DEK	-4.06
DENND1A	0.73
DENND1B	7.7
DENND1C	-3.26
DENND2A	6.01
DENND2C	5.09
DENND2D	5.92
DENND3	-4.19
DENND4A	-1.06
DENND4B	9.22
DENND4C	-5.28
DENND5A	-6.46
DENND5B	2.6
DENND6A	-2.51
DENND6B	-9.05
DENR	-0.36
DEPDC1	4.76
DEPDC1B	6.39
DEPDC4	5.88
DEPDC5	3.83
DEPDC7	-1.95
DEPTOR	4.6
DERA	2.95
DERL1	1.36
DERL2	-5.32
DERL3	9.89
DES	-6.55
DESI1	2.71
DESI2	-4.04
DET1	0.5
DEXI	-1.11
DFFA	1.85
DFFB	4.46
DFNA5	2.11
DFNB31	-9.28
DFNB59	3
DGAT1	-5.51
DGAT2	4.34
DGAT2L6	-0.26
DGCR14	1.15
DGCR2	-0.47
DGCR6	9.02
DGCR6L	-5.56
DGCR8	-8.46
DGKA	9.53
DGKB	-6.47
DGKD	3.79
DGKE	1.5
DGKG	-2.05
DGKH	5.13
DGKI	-4.86
DGKK	-4.51
DGKQ	8.35
DGKZ	7.55
DGUOK	-5.83
DHCR24	-0.85
DHCR7	-6.86
DHDDS	-3.81
DHDH	2.88
DHFR	4.33
DHFRL1	6.94
DHH	6.89
DHODH	3.55
DHPS	-3.32
DHRS1	0.38
DHRS11	6.88
DHRS12	4.31
DHRS13	-4.79
DHRS2	9.77
DHRS3	-4.26
DHRS4	-7.37
DHRS4L1	7.95
DHRS4L2	2.5
DHRS7	-8.72
DHRS7B	-4.45
DHRS7C	9.04
DHRS9	-8
DHRSX	-0.24
DHTKD1	-8.02
DHX15	-5.02
DHX16	-3.39
DHX29	1.4
DHX30	-5.75
DHX32	-5.82
DHX33	7.77
DHX34	6.8
DHX35	8.83
DHX36	8.8
DHX37	5.05
DHX38	-9.98
DHX40	0.09
DHX57	-5.79
DHX58	-1.47
DHX8	-3.68
DHX9	2.51
DIABLO	8.67
DIAPH1	-4.63
DIAPH2	-5.4
DIAPH3	-7.65
DICER1	1.71
DIDO1	-4.96
DIEXF	9.2
DIMT1	-3.47
DIO1	-5.02
DIO2	5.81
DIO3	-6.16
DIP2A	2.17
DIP2B	-2.39
DIP2C	-2.15
DIRAS1	-2.91
DIRAS2	1.06
DIRAS3	-9.35
DIRC1	5.24
DIRC2	6.34
DIS3	0.87
DIS3L	6.41
DIS3L2	-6.74
DISC1	5.5
DISP1	8.68
DISP2	-1
DIXDC1	-5.1
DKC1	-8.72
DKK1	-2.88
DKK2	3.23
DKK3	-7.19
DKK4	7.74
DKKL1	-5.52
DLAT	-7.72
DLC1	2.52
DLD	2.8
DLEC1	-2.76
DLEU7	-5.54
DLG1	2.08
DLG2	-5.37
DLG3	2.82
DLG4	-9.85
DLG5	-2.64
DLGAP1	-1.45
DLGAP2	3.51
DLGAP3	1.52
DLGAP4	2.49
DLGAP5	1.78
DLK1	1.77
DLK2	-0.71
DLL1	-7.96
DLL3	-0.33
DLL4	-2.13
DLST	-7.99
DLX1	-5.47
DLX2	-6.68
DLX3	-7.89
DLX4	-3.07
DLX5	-9.78
DLX6	4.14
DMAP1	8.91
DMBT1	7.1
DMBX1	8.4
DMC1	-5.21
DMD	-6.96
DMGDH	5.94
DMKN	-5.81
DMP1	-9.24
DMPK	-8.32
DMRT1	9.81
DMRT2	4.19
DMRT3	2.22
DMRTA1	-0.54
DMRTA2	2.13
DMRTB1	5.83
DMRTC1	5.31
DMRTC1B	-1.17
DMRTC2	2.37
DMTF1	1.05
DMTN	1.75
DMWD	0.78
DMXL1	-7.12
DMXL2	9.15
DNAAF1	-2.83
DNAAF2	4.67
DNAAF3	1.39
DNAH1	-1.84
DNAH10	-8.89
DNAH11	-9.63
DNAH12	-0.23
DNAH14	1.81
DNAH17	-6.03
DNAH2	5.94
DNAH3	-0.67
DNAH5	2.33
DNAH6	-2.81
DNAH7	-6.96
DNAH8	3.61
DNAH9	-6.02
DNAI1	-2.2
DNAI2	-4.06
DNAJA1	0.42
DNAJA2	9.16
DNAJA3	9.42
DNAJA4	-1.56
DNAJB1	-9.16
DNAJB11	3.92
DNAJB12	6.09
DNAJB13	5.15
DNAJB14	-2.88
DNAJB2	6.78
DNAJB3	-1.87
DNAJB4	7.8
DNAJB5	-6.22
DNAJB6	-5.85
DNAJB7	-9.8
DNAJB8	-6.8
DNAJB9	0.74
DNAJC1	-6.11
DNAJC10	-0.38
DNAJC11	-3.87
DNAJC12	3.21
DNAJC13	-8.47
DNAJC14	1.49
DNAJC15	0.55
DNAJC16	-8.56
DNAJC17	6.89
DNAJC18	-1.21
DNAJC19	-2.33
DNAJC2	2
DNAJC21	-9.86
DNAJC22	-2.62
DNAJC24	-5.91
DNAJC25	3.32
DNAJC27	9.47
DNAJC28	-8.77
DNAJC3	8.63
DNAJC30	6.38
DNAJC4	9.11
DNAJC5	8.02
DNAJC5B	-0.5
DNAJC5G	-8.28
DNAJC6	-5.4
DNAJC7	-6.74
DNAJC8	1.31
DNAJC9	0.43
DNAL1	9.13
DNAL4	6.82
DNALI1	0.44
DNASE1	-1.41
DNASE1L1	8.4
DNASE1L2	8.9
DNASE1L3	4.92
DNASE2	-2.31
DNASE2B	-9.53
DND1	6.97
DNER	2.96
DNHD1	0.27
DNLZ	4.13
DNM1	-2.05
DNM1L	-8.47
DNM2	-6.81
DNM3	9.42
DNMBP	0.88
DNMT1	-4.44
DNMT3A	1.33
DNMT3B	-7.18
DNMT3L	4.53
DNPEP	7.94
DNPH1	2.81
DNTT	1.32
DNTTIP1	6.93
DNTTIP2	7.59
DOC2A	-0.8
DOC2B	6.77
DOCK1	0.39
DOCK10	-4.43
DOCK11	-8.98
DOCK2	-0.95
DOCK3	9.29
DOCK4	3.12
DOCK5	1.98
DOCK6	4.08
DOCK7	6.22
DOCK8	-5.13
DOCK9	1.28
DOHH	1.91
DOK1	-0.22
DOK2	-4.77
DOK3	-9.3
DOK4	-6.11
DOK5	-5.5
DOK6	2.38
DOK7	7.62
DOLK	-2.79
DOLPP1	3.02
DONSON	4.68
DOPEY1	-1.69
DOPEY2	2.33
DOT1L	3.31
DPAGT1	-0.99
DPCD	-8.49
DPCR1	8.71
DPEP1	-4.3
DPEP2	-8.66
DPEP3	4.45
DPF1	-0.66
DPF2	4.41
DPF3	8
DPH1	7.21
DPH2	-1.95
DPH3	3.17
DPH3P1	-4.88
DPH5	5.22
DPH6	2.22
DPH7	2.27
DPM1	8.76
DPM2	-2.92
DPM3	-8.23
DPP10	0.25
DPP3	-6.07
DPP4	9.07
DPP6	-5.87
DPP7	3.75
DPP8	9.14
DPP9	3.99
DPPA2	-9.46
DPPA3	-3.88
DPPA4	-7.93
DPPA5	-0.63
DPRX	-5.24
DPT	-9.98
DPY19L1	-6.04
DPY19L2	-5.48
DPY19L3	0.49
DPY19L4	-4.44
DPY30	-9.08
DPYD	5.34
DPYS	-0.99
DPYSL2	-5.47
DPYSL3	6.12
DPYSL4	0.79
DPYSL5	8.68
DQX1	-1.03
DR1	-6.48
DRAM1	6.33
DRAM2	-1.9
DRAP1	7.2
DRAXIN	3
DRC1	-5.47
DRD1	-0.78
DRD2	3.88
DRD3	7.79
DRD4	-6.29
DRD5	-9.96
DRG1	6.24
DRG2	9.35
DRGX	-0.47
DROSHA	-3.99
DRP2	-6.64
DSC1	-5.23
DSC2	-3.05
DSC3	-5.83
DSCAM	7.76
DSCAML1	-8.26
DSCC1	9.95
DSCR3	7.77
DSCR4	-9.97
DSE	-5.93
DSEL	6.13
DSG1	-4.81
DSG2	9.36
DSG3	1.42
DSG4	4.8
DSN1	-0.71
DSP	7.03
DSPP	0.85
DST	7.13
DSTN	7.69
DSTYK	8.03
DTD1	-3.25
DTD2	-4.1
DTHD1	-4.14
DTL	-3.66
DTNA	-2.75
DTNB	2.9
DTNBP1	5.75
DTWD1	-8.8
DTWD2	-0.69
DTX1	-4.33
DTX2	0.74
DTX3	-5.33
DTX3L	-2.64
DTX4	-8.74
DTYMK	-8.38
DUOX1	-8.72
DUOX2	-6.69
DUOXA1	3.57
DUOXA2	3.96
DUPD1	2.02
DUS1L	-0.69
DUS2	4.06
DUS3L	-6.14
DUS4L	5.16
DUSP1	-3.42
DUSP10	6.79
DUSP11	4.28
DUSP12	6.53
DUSP13	-3.7
DUSP14	0.62
DUSP15	4.05
DUSP16	-7.58
DUSP18	-2.23
DUSP19	-2.3
DUSP2	-8.35
DUSP21	5.85
DUSP22	-3.24
DUSP23	3.7
DUSP26	-4.33
DUSP27	-7.91
DUSP28	-6.46
DUSP3	-7.69
DUSP4	-7.38
DUSP5	-8.26
DUSP6	1.44
DUSP7	-4.04
DUSP8	-6.65
DUSP9	-0.41
DUT	-8.82
DUX2	-1.85
DUXA	-2.07
DVL1	1.8
DVL2	-7.19
DVL3	-7.99
DXO	-9.95
DYDC1	-4.94
DYDC2	2.18
DYM	9.13
DYNAP	3.97
DYNC1H1	-9.99
DYNC1I1	-3.93
DYNC1I2	-8.38
DYNC1LI1	7.25
DYNC1LI2	-3.12
DYNC2H1	-9.5
DYNC2LI1	8.83
DYNLL1	8.89
DYNLL2	-8.23
DYNLRB1	1.93
DYNLRB2	-1.07
DYNLT1	-9.17
DYNLT3	9.46
DYRK1A	0.02
DYRK1B	-3.92
DYRK2	-4.4
DYRK3	-6.8
DYRK4	-7
DYSF	5.76
DYTN	5.57
DYX1C1	5.64
DZANK1	-7.66
DZIP1	-6
DZIP1L	-9.04
DZIP3	-2.29
E2F1	-0.63
E2F2	1.04
E2F3	6.13
E2F4	8.22
E2F5	3.51
E2F6	5.46
E2F7	5.79
E2F8	-2.94
E4F1	7.28
EAF1	-5.29
EAF2	7.79
EAPP	-5.14
EARS2	2.65
EBAG9	-8.82
EBF1	-9.52
EBF2	1.34
EBF3	9.46
EBF4	-7.47
EBI3	-1.2
EBLN1	-2.43
EBLN2	1.55
EBNA1BP2	0.35
EBP	-8.66
EBPL	-9.89
ECD	6.74
ECE1	-5.43
ECE2	4.37
ECEL1	4.2
ECH1	0.74
ECHDC1	-0.47
ECHDC2	3.32
ECHDC3	-8.71
ECHS1	-3.81
ECI1	3.92
ECI2	0.2
ECM1	-2.41
ECM2	4.55
ECSCR	9.07
ECSIT	-0.25
ECT2	2.85
ECT2L	0.81
EDA	3.65
EDA2R	0.19
EDAR	3.37
EDARADD	5.7
EDC3	3.89
EDC4	-8.1
EDDM3A	-5.44
EDDM3B	-3.59
EDEM1	2.23
EDEM2	3.11
EDEM3	0.77
EDF1	8.94
EDIL3	1.98
EDN1	6.34
EDN2	3.02
EDN3	6.94
EDNRA	3.41
EDNRB	7.74
EEA1	7.77
EED	7.46
EEF1A1	4.97
EEF1A2	8.16
EEF1B2	2.25
EEF1D	8.7
EEF1E1	-7.57
EEF1G	-8.74
EEF2	-3.63
EEF2K	-2.23
EEFSEC	-1.49
EEPD1	-5.99
EFCAB1	-3.24
EFCAB11	6.67
EFCAB12	-9.55
EFCAB13	2.54
EFCAB14	2.15
EFCAB2	-7.51
EFCAB3	2.98
EFCAB4A	6.92
EFCAB4B	-8.78
EFCAB5	-3.05
EFCAB6	2.28
EFCAB7	-8.41
EFCAB9	9.71
EFCC1	7.17
EFEMP1	0.67
EFEMP2	8.42
EFHB	1.18
EFHC1	3.84
EFHC2	-8.62
EFHD1	5.09
EFHD2	-0.81
EFNA1	1.44
EFNA2	2.87
EFNA3	2.01
EFNA4	8.53
EFNA5	8.84
EFNB1	0.49
EFNB2	2.79
EFNB3	8.12
EFR3A	1.54
EFR3B	-1.25
EFS	1.52
EFTUD1	8.95
EFTUD2	1.09
EGF	7.18
EGFL6	-9.17
EGFL7	3.31
EGFL8	-0.01
EGFLAM	2.1
EGFR	-6.18
EGLN1	-4.04
EGLN2	-6.55
EGLN3	0.46
EGR1	-8.74
EGR2	-8.47
EGR3	-3.24
EGR4	-8.6
EHBP1	-6.61
EHBP1L1	9.61
EHD1	-8.73
EHD2	-6.28
EHD3	-4.49
EHD4	-2.36
EHF	-7.93
EHHADH	1.12
EHMT1	7.36
EHMT2	1.06
EI24	-2.27
EID1	-4.43
EID2	-6.85
EID2B	-5.42
EID3	9.98
EIF1	-9.18
EIF1AD	4.05
EIF1AX	9.5
EIF1AY	9.53
EIF1B	9.63
EIF2A	7.38
EIF2AK1	-7.68
EIF2AK2	-4.91
EIF2AK3	-7.61
EIF2AK4	1.91
EIF2B1	-4.16
EIF2B2	-8.62
EIF2B3	-7.9
EIF2B4	1.35
EIF2B5	-9.21
EIF2D	2.83
EIF2S1	-9.05
EIF2S2	-4.98
EIF2S3	-0.31
EIF3A	-7.91
EIF3B	-3.72
EIF3C	9.03
EIF3CL	-8.35
EIF3D	8.64
EIF3E	-4.11
EIF3F	-8.18
EIF3G	-0.73
EIF3H	1.99
EIF3I	-5.7
EIF3J	7.02
EIF3K	-0.51
EIF3L	6.71
EIF3M	-9.22
EIF4A1	-1.47
EIF4A2	-5.51
EIF4A3	7.21
EIF4B	-8.39
EIF4E	8.19
EIF4E1B	5.53
EIF4E2	6.9
EIF4E3	8.24
EIF4EBP1	-1.77
EIF4EBP2	-8.66
EIF4EBP3	-8.13
EIF4ENIF1	0.45
EIF4G1	-6.88
EIF4G2	3.67
EIF4G3	-7.76
EIF4H	7.72
EIF5	-0.77
EIF5A	3.7
EIF5A2	1.72
EIF5AL1	-4.41
EIF5B	-1.78
EIF6	-6.28
ELAC1	0.14
ELAC2	-3.18
ELANE	-7.27
ELAVL1	7.34
ELAVL2	7.56
ELAVL3	2.67
ELAVL4	-1.94
ELF1	0.66
ELF2	-3.61
ELF3	-9.4
ELF4	7.94
ELF5	-8.57
ELFN1	-5.59
ELFN2	-0.56
ELK1	-9.09
ELK3	0.4
ELK4	-4.77
ELL	-2.37
ELL2	-3.67
ELL3	0.7
ELMO1	8.36
ELMO2	7.08
ELMO3	1.72
ELMOD1	5.76
ELMOD2	7.05
ELMOD3	6.49
ELMSAN1	2.13
ELN	4.77
ELOF1	7.23
ELOVL1	-1.72
ELOVL2	2.61
ELOVL3	0.51
ELOVL4	-9.95
ELOVL5	-1.54
ELOVL6	1.51
ELOVL7	-0.96
ELP2	-6.16
ELP3	-2.41
ELP4	4.82
ELP5	-1.91
ELP6	-8.7
ELSPBP1	7.75
ELTD1	-2.28
EMB	-2.16
EMC1	-7.99
EMC10	-3.36
EMC2	-1.51
EMC3	-4.34
EMC4	9.1
EMC6	-0.05
EMC7	1.83
EMC8	8.29
EMC9	5.54
EMCN	-9.81
EMD	-5.86
EME1	-7.42
EME2	2.5
EMG1	-1.14
EMID1	-3.83
EMILIN1	-0.35
EMILIN2	-4.99
EMILIN3	-0.89
EML1	-7.87
EML2	5.27
EML3	8.45
EML4	-6.05
EML5	2.25
EML6	3.5
EMP1	6.78
EMP2	-3.88
EMP3	-4.54
EMR1	-9.75
EMR2	0.52
EMR3	0.92
EMX1	7.33
EMX2	-8.09
EN1	8.99
EN2	7.25
ENAH	-9.18
ENAM	2.85
ENC1	-0.62
ENDOD1	-4.58
ENDOG	9.72
ENDOU	9.37
ENDOV	-8.29
ENG	0.95
ENGASE	-2.86
ENHO	6.74
ENKD1	-0.36
ENKUR	-1.19
ENO1	7.27
ENO2	9.16
ENO3	-9.71
ENO4	-9.85
ENOPH1	-6.2
ENOSF1	0.99
ENOX1	-8.07
ENOX2	-2.58
ENPEP	-5.88
ENPP1	5.06
ENPP2	6.29
ENPP3	9.94
ENPP4	-3.78
ENPP5	5.88
ENPP6	1.57
ENPP7	0.89
ENSA	4.86
ENTHD1	-8.28
ENTHD2	2.44
ENTPD1	0.15
ENTPD2	8.13
ENTPD3	1.9
ENTPD4	7.75
ENTPD5	6.75
ENTPD6	-6.9
ENTPD7	7.56
ENTPD8	-4.97
ENY2	9.35
EOGT	1.92
EOMES	7.1
EP300	3.59
EP400	6.46
EPAS1	1.16
EPB41	3.22
EPB41L1	1.06
EPB41L2	-5.61
EPB41L3	1.23
EPB41L4A	8.24
EPB41L4B	-7.42
EPB41L5	-9.81
EPB42	-1.49
EPC1	5.4
EPC2	3.58
EPCAM	4.92
EPDR1	-7.76
EPG5	2.44
EPGN	-4.95
EPHA1	-6.77
EPHA10	4.89
EPHA2	-1.4
EPHA3	7.52
EPHA4	-1.78
EPHA5	-3.95
EPHA6	-0.64
EPHA7	8.95
EPHA8	6.61
EPHB1	-5.87
EPHB2	-5.34
EPHB3	4.85
EPHB4	-7.37
EPHB6	1.86
EPHX1	5.93
EPHX2	-5.29
EPHX3	6.72
EPHX4	-2.54
EPM2A	-9.25
EPM2AIP1	1.18
EPN1	-4.86
EPN2	-1.32
EPN3	9.65
EPO	7.67
EPOR	-5.21
EPPIN	4.28
EPPIN-WFDC6	5.21
EPPK1	-7.58
EPRS	-7
EPS15	8.98
EPS15L1	-6
EPS8	-6.76
EPS8L1	-1.97
EPS8L2	9.53
EPS8L3	5.01
EPSTI1	-8.33
EPT1	-3.79
EPX	-7.39
EPYC	3.43
EQTN	-7.34
ERAL1	4.88
ERAP1	3.19
ERAP2	-5.44
ERAS	1.18
ERBB2	-1.84
ERBB2IP	-1.79
ERBB3	3.04
ERBB4	9.15
ERC1	-4.95
ERC2	-3.87
ERCC1	5.39
ERCC2	-4.18
ERCC3	8.29
ERCC4	-9.09
ERCC5	-2.64
ERCC6	7.54
ERCC6L	-8.96
ERCC6L2	8.22
ERCC8	-5.51
EREG	9.13
ERF	-1
ERG	-2.35
ERGIC1	-1.08
ERGIC2	8.9
ERGIC3	8.87
ERH	6.97
ERI1	5.1
ERI2	3.29
ERI3	-6.3
ERICH1	-7.19
ERLEC1	-0.91
ERLIN1	0.99
ERLIN2	-6.82
ERMAP	9.01
ERMARD	0.69
ERMN	0.09
ERMP1	-7.91
ERN1	-5.26
ERN2	-6.81
ERO1L	-9.2
ERO1LB	3.12
ERP27	-3.62
ERP29	-1.94
ERP44	-5.92
ERRFI1	7.56
ERV3-1	-2.31
ERVFRD-1	-5.19
ERVV-1	-5.54
ERVV-2	3.62
ERVW-1	-7.34
ESAM	-1.48
ESCO1	2.65
ESCO2	9.89
ESD	-8.33
ESF1	-2.14
ESM1	-1.64
ESPL1	3.03
ESPN	6.6
ESPNL	1.57
ESR1	9.38
ESR2	0.14
ESRP1	1.79
ESRP2	-9.62
ESRRA	5.59
ESRRB	-1.7
ESRRG	-3.29
ESX1	-0.5
ESYT1	9.95
ESYT2	-8.96
ESYT3	9.95
ETAA1	-6.26
ETF1	-2.99
ETFA	-5.97
ETFB	7.95
ETFDH	6.9
ETHE1	-7.13
ETNK1	7.82
ETNK2	-6.64
ETNPPL	0.03
ETS1	-9.01
ETS2	6.6
ETV1	-7.09
ETV2	-3.96
ETV3	-3.07
ETV3L	-2.35
ETV4	-2.7
ETV5	-9.13
ETV6	-1.37
ETV7	-3.36
EVA1A	0.84
EVA1B	0.76
EVA1C	9.27
EVC	7.49
EVC2	8.03
EVI2A	7.95
EVI2B	-4.41
EVI5	-6.42
EVI5L	-1.48
EVL	2.28
EVPL	5.94
EVPLL	-8.95
EVX1	5.75
EVX2	8.59
EWSR1	4.37
EXD1	-4.59
EXD2	3.98
EXD3	-2.76
EXO1	-1.38
EXO5	6.9
EXOC1	-3.39
EXOC2	3.37
EXOC3	8.59
EXOC3L1	-4.35
EXOC3L2	5.55
EXOC3L4	1.29
EXOC4	-0.12
EXOC5	1.03
EXOC6	3.51
EXOC6B	-7.6
EXOC7	-9.34
EXOC8	7.81
EXOG	6.9
EXOSC1	3.82
EXOSC10	-2.55
EXOSC2	4.89
EXOSC3	-1.04
EXOSC4	-8.63
EXOSC5	1.19
EXOSC6	-0.51
EXOSC7	-7.64
EXOSC8	-5.41
EXOSC9	-4.56
EXPH5	-6.05
EXT1	-1.86
EXT2	9.87
EXTL1	9.28
EXTL2	-0.18
EXTL3	-2.07
EYA1	9.84
EYA2	6.31
EYA3	9.59
EYA4	6.01
EYS	-8.7
EZH1	0.68
EZH2	-6.63
EZR	-2.07
F10	2.14
F11	6.3
F11R	-9.85
F12	-0.16
F13A1	5.81
F13B	-3.79
F2	2.62
F2R	-4.08
F2RL1	-8.16
F2RL2	-4.11
F2RL3	-8.84
F3	-9.57
F5	8.88
F7	5.84
F8	-8.45
F8A1	-1.37
F8A2	8.73
F8A3	-3.12
F9	1.33
FA2H	-8.54
FAAH	7.28
FAAH2	-2.11
FABP1	-0.86
FABP12	4.92
FABP2	-7.09
FABP3	-1.47
FABP4	0.05
FABP6	-7.75
FABP7	4.6
FABP9	5.54
FADD	-7.03
FADS1	-3.24
FADS2	-7.72
FADS3	7.97
FADS6	5.52
FAF1	-2.22
FAF2	3.59
FAH	7.8
FAHD1	3.89
FAHD2A	5.22
FAHD2B	-6.63
FAIM	5.38
FAIM2	2.12
FAIM3	5.13
FAM101A	2.35
FAM101B	-1.58
FAM102A	-6.64
FAM102B	0
FAM103A1	7.96
FAM104A	1.82
FAM104B	5.48
FAM105A	5.64
FAM105B	5.29
FAM107A	0.13
FAM107B	2
FAM109A	-9.21
FAM109B	3.83
FAM110A	1.24
FAM110B	-0.26
FAM110C	-6.92
FAM110D	7.34
FAM111A	4.96
FAM111B	7.45
