Gene	Treatment A label (can include Latex, e.g. (humble $\pi)^{\tau\rho y}$)
DHRS7C	-1.49
DHRS9	9.06
DHRSX	0.36
DHTKD1	4.57
DHX15	4.61
DHX16	-2.74
DHX29	-8.03
DHX30	-8.04
DHX32	2.19
DHX33	-2.21
DHX34	7.89
DHX35	-9.34
DHX36	-3.06
DHX37	-9.61
DHX38	0.66
DHX40	4.22
DHX57	9.89
DHX58	6.99
DHX8	0.33
DHX9	8.72
DIABLO	9.39
DIAPH1	-1.15
DIAPH2	-2.2
DIAPH3	-8.35
DICER1	6.74
DIDO1	-4.48
DIEXF	-1.71
DIMT1	9.02
DIO1	7.12
DIO2	-0.18
DIO3	2.05
DIP2A	9.13
DIP2B	-9.99
DIP2C	-3.83
DIRAS1	-7.88
DIRAS2	-9.04
DIRAS3	7.06
DIRC1	2.95
DIRC2	9.56
DIS3	-4.67
DIS3L	2.38
DIS3L2	5.04
DISC1	3.82
DISP1	-9.62
DISP2	9.25
DIXDC1	5.56
DKC1	3
DKK1	2.06
DKK2	-0.15
DKK3	2.15
DKK4	-0.11
DKKL1	-4.92
DLAT	4.27
DLC1	1.83
DLD	8.85
DLEC1	7.17
DLEU7	-1.79
DLG1	9.89
DLG2	-2.26
DLG3	9.73
DLG4	5.7
DLG5	3.73
DLGAP1	1.07
DLGAP2	4.59
DLGAP3	-0.89
DLGAP4	5.94
DLGAP5	-7.38
DLK1	6.88
DLK2	0.84
DLL1	-7.96
DLL3	-7.74
DLL4	0.68
DLST	-0.86
DLX1	3.01
DLX2	-9.55
DLX3	-7.92
DLX4	6.82
DLX5	9.47
DLX6	2.41
DMAP1	6.8
DMBT1	-8.04
DMBX1	8.98
DMC1	0.14
DMD	2.36
DMGDH	2.48
DMKN	-0.82
DMP1	-6.42
DMPK	-1.76
DMRT1	6.35
DMRT2	0.29
DMRT3	-3.3
DMRTA1	-9.43
DMRTA2	-1.38
DMRTB1	-6.24
DMRTC1	-9.22
DMRTC1B	-6.86
DMRTC2	1.94
DMTF1	-8.11
DMTN	-7.72
DMWD	-9.02
DMXL1	2.17
DMXL2	-2.93
DNAAF1	-3.35
DNAAF2	-5.72
DNAAF3	-8.71
DNAH1	2.54
DNAH10	3.89
DNAH11	5.33
DNAH12	-2.86
DNAH14	2.01
DNAH17	-2.19
DNAH2	-0.74
DNAH3	0
DNAH5	-9.82
DNAH6	8.76
DNAH7	-5.6
DNAH8	-0.38
DNAH9	-9.36
DNAI1	-1.96
DNAI2	-7.33
DNAJA1	6.88
DNAJA2	3.9
DNAJA3	3.98
DNAJA4	-5.54
DNAJB1	6.5
DNAJB11	3.71
DNAJB12	-2.31
DNAJB13	4.6
DNAJB14	-3.44
DNAJB2	-5.33
DNAJB3	-8.44
DNAJB4	-5.67
DNAJB5	-1.32
DNAJB6	-2.24
DNAJB7	-4.41
DNAJB8	-7.74
DNAJB9	-9.82
DNAJC1	-1.17
DNAJC10	-6.79
DNAJC11	6.76
DNAJC12	-0.08
DNAJC13	-2.29
DNAJC14	-9.55
DNAJC15	-8.11
DNAJC16	-1.52
DNAJC17	-4.75
DNAJC18	-2.1
DNAJC19	6.9
DNAJC2	-2.5
DNAJC21	5.23
DNAJC22	-8.59
DNAJC24	7.43
DNAJC25	1.67
DNAJC27	-7.18
DNAJC28	-1
DNAJC3	3.21
DNAJC30	-2.06
DNAJC4	-0.24
DNAJC5	-9.89
DNAJC5B	-8.36
DNAJC5G	-2.52
DNAJC6	2.33
DNAJC7	-5.18
DNAJC8	-4.96
DNAJC9	9.95
DNAL1	4.69
DNAL4	-4.52
DNALI1	6.01
DNASE1	4.87
DNASE1L1	1.29
DNASE1L2	7.69
DNASE1L3	-0.37
DNASE2	-0.18
DNASE2B	-5.93
DND1	-2.14
DNER	2.57
DNHD1	-7.48
DNLZ	6.12
DNM1	-2.29
DNM1L	-3.05
DNM2	-3.05
DNM3	6.76
DNMBP	2.81
DNMT1	-9.77
DNMT3A	-6.66
DNMT3B	-9.87
DNMT3L	2.12
DNPEP	-0.85
DNPH1	-1.11
DNTT	6.07
DNTTIP1	0.06
DNTTIP2	-7.95
DOC2A	9.46
DOC2B	2.12
DOCK1	-7.99
DOCK10	-6.7
DOCK11	5.94
DOCK2	6.35
DOCK3	-5.89
DOCK4	-6.1
DOCK5	5.85
DOCK6	-6.49
DOCK7	-7.15
DOCK8	-7.96
DOCK9	8.7
DOHH	1.89
DOK1	6.8
DOK2	7.5
DOK3	2.19
DOK4	-6.63
DOK5	-0.54
DOK6	6.42
DOK7	4.07
DOLK	3.17
DOLPP1	5.5
DONSON	8.32
DOPEY1	4.9
DOPEY2	-5.36
DOT1L	2.16
DPAGT1	1.13
DPCD	-9.54
DPCR1	-6.96
DPEP1	-3.89
DPEP2	-6.51
DPEP3	9.82
DPF1	-7.98
DPF2	-0.86
DPF3	9.53
DPH1	1.13
DPH2	7.96
DPH3	-2.04
DPH3P1	-5.89
DPH5	3.13
DPH6	1.62
DPH7	-5.77
DPM1	-6.83
DPM2	-6.31
DPM3	-5.7
DPP10	4.09
DPP3	2.99
DPP4	-2.59
DPP6	-4.05
DPP7	-7.78
DPP8	-4.07
DPP9	5.05
DPPA2	9.95
DPPA3	7.48
DPPA4	1.24
DPPA5	5.97
DPRX	-3.01
DPT	-9.33
DPY19L1	-3.41
DPY19L2	-2.18
DPY19L3	1.19
DPY19L4	0.37
DPY30	8.33
DPYD	8.79
DPYS	1.72
DPYSL2	-7.54
DPYSL3	9.53
DPYSL4	-8.3
DPYSL5	-7.03
DQX1	-8.23
DR1	-1.9
DRAM1	-9.05
DRAM2	-0.35
DRAP1	-7.22
DRAXIN	-8.03
DRC1	3.55
DRD1	0.13
DRD2	-6.07
DRD3	7.13
DRD4	-7.55
DRD5	8.86
DRG1	8.37
DRG2	-5.86
DRGX	-5.38
DROSHA	-8.28
DRP2	2.8
DSC1	-2.53
DSC2	-5.38
DSC3	-3.08
DSCAM	2.27
DSCAML1	2.77
DSCC1	9.9
DSCR3	-3.09
DSCR4	2.21
DSE	7
DSEL	2.13
DSG1	8.16
DSG2	-4.16
DSG3	9.46
DSG4	-3.47
DSN1	0.16
DSP	-7.46
DSPP	7.75
DST	-9
DSTN	-7.44
DSTYK	3.54
DTD1	-9.45
DTD2	7.72
DTHD1	0.75
DTL	-1.88
DTNA	-4.1
DTNB	-7.64
DTNBP1	2.85
DTWD1	-2.65
DTWD2	-9.52
DTX1	1.47
DTX2	3.13
DTX3	-5.17
DTX3L	-2.05
DTX4	-4.05
DTYMK	-8.24
DUOX1	1.45
DUOX2	-5.92
DUOXA1	2.55
DUOXA2	-0.89
DUPD1	8.35
DUS1L	6.47
DUS2	-5.04
DUS3L	9.13
DUS4L	8.02
DUSP1	2.52
DUSP10	6.43
DUSP11	3.96
DUSP12	5.89
DUSP13	-8.21
DUSP14	6.43
DUSP15	0.35
DUSP16	2.54
DUSP18	-1.44
DUSP19	-3.78
DUSP2	7.27
DUSP21	8.79
DUSP22	8.07
DUSP23	1.32
DUSP26	7.98
DUSP27	-3.91
DUSP28	4.07
DUSP3	-3.73
DUSP4	-5.18
DUSP5	-8.83
DUSP6	2.46
DUSP7	-5.96
DUSP8	8.31
DUSP9	2.05
DUT	2.96
DUX2	9.41
DUXA	-9.82
DVL1	-6.77
DVL2	9.87
DVL3	-5.57
DXO	-2.15
DYDC1	-1.73
DYDC2	-6.32
DYM	5.73
DYNAP	-4.89
DYNC1H1	-0.63
DYNC1I1	2.21
DYNC1I2	-0.7
DYNC1LI1	5.5
DYNC1LI2	7.51
DYNC2H1	-2.49
DYNC2LI1	-5.28
DYNLL1	-3.1
DYNLL2	0.95
DYNLRB1	-2.38
DYNLRB2	8.15
DYNLT1	6.01
DYNLT3	-6.79
DYRK1A	-9.78
DYRK1B	-0.3
DYRK2	1.49
DYRK3	6.72
DYRK4	-8.75
DYSF	-4.32
DYTN	9.25
DYX1C1	0.82
DZANK1	8.82
DZIP1	-3.2
DZIP1L	5.42
DZIP3	7.6
E2F1	7.13
E2F2	4.86
E2F3	9.38
E2F4	-3.75
E2F5	4.78
E2F6	-7.59
E2F7	7.13
E2F8	0.55
E4F1	-0.71
EAF1	3.96
EAF2	0.55
EAPP	-1.93
EARS2	-4.82
EBAG9	-4.24
EBF1	-3.71
EBF2	-5.69
EBF3	-9.02
EBF4	-3.01
EBI3	-5.38
EBLN1	-4.54
EBLN2	3.28
EBNA1BP2	-6.67
EBP	-6.32
EBPL	5.17
ECD	-7.71
ECE1	-3.54
ECE2	-6.09
ECEL1	-7.65
ECH1	5.41
ECHDC1	-8.9
ECHDC2	-5.6
ECHDC3	8.31
ECHS1	2.64
ECI1	4.42
ECI2	-6.26
ECM1	8.79
ECM2	6.41
ECSCR	2.39
ECSIT	-7.97
ECT2	6.41
ECT2L	4.16
EDA	-6.41
EDA2R	7.73
EDAR	-2.94
EDARADD	0.56
EDC3	-5.32
EDC4	-6.52
EDDM3A	-3.14
EDDM3B	9.36
EDEM1	4.92
EDEM2	-7.15
EDEM3	-5.06
EDF1	-9.07
EDIL3	-0.48
EDN1	-0.8
EDN2	4.42
EDN3	-0.58
EDNRA	1.68
EDNRB	4.31
EEA1	8.13
EED	7.55
EEF1A1	7.61
EEF1A2	-9.32
EEF1B2	4.59
EEF1D	7.19
EEF1E1	8.4
EEF1G	-8.11
EEF2	9.58
EEF2K	-2.09
EEFSEC	9.74
EEPD1	9.08
EFCAB1	-8.46
EFCAB11	6.86
EFCAB12	0.37
EFCAB13	-6.57
EFCAB14	-2.83
EFCAB2	-4.99
EFCAB3	-5.14
EFCAB4A	-8.55
EFCAB4B	-3.44
EFCAB5	-2.69
EFCAB6	2.08
EFCAB7	-4.32
EFCAB9	1.71
EFCC1	8.71
EFEMP1	-6.75
EFEMP2	-9.21
EFHB	-7.2
EFHC1	2.82
EFHC2	-7.17
EFHD1	-4.48
EFHD2	-3.91
EFNA1	-9.56
EFNA2	-4.8
EFNA3	-3.23
EFNA4	-9.57
EFNA5	-7.69
EFNB1	2.69
EFNB2	-3.46
EFNB3	8.09
EFR3A	-8.45
EFR3B	9.59
EFS	7.48
EFTUD1	3.92
EFTUD2	-6.6
EGF	0.39
EGFL6	-5.3
EGFL7	-9.26
EGFL8	-3.74
EGFLAM	4.65
EGFR	-9.75
EGLN1	8.28
EGLN2	2.57
EGLN3	-3.18
EGR1	3.56
EGR2	6.24
EGR3	-6.27
EGR4	-3.82
EHBP1	1.62
EHBP1L1	6.77
EHD1	-4.43
EHD2	-0.96
EHD3	-8.46
EHD4	-0.37
EHF	3.39
EHHADH	-0.38
EHMT1	8.95
EHMT2	4.7
EI24	9.91
EID1	1.18
EID2	-8.43
EID2B	0.12
EID3	2.68
EIF1	1.31
EIF1AD	3.86
EIF1AX	7.93
EIF1AY	-0.25
EIF1B	-1.78
EIF2A	-8.29
EIF2AK1	-5.33
EIF2AK2	-5.95
EIF2AK3	-8.81
EIF2AK4	2.05
EIF2B1	-6.06
EIF2B2	-6.71
EIF2B3	-1.02
EIF2B4	5.75
EIF2B5	0.84
EIF2D	9.32
EIF2S1	8.26
EIF2S2	-4.44
EIF2S3	-5.97
EIF3A	0.22
EIF3B	0.95
EIF3C	-4.39
EIF3CL	-0.56
EIF3D	-1.46
EIF3E	-9.79
EIF3F	9.28
EIF3G	4.91
EIF3H	8.05
EIF3I	5.08
EIF3J	-3.87
EIF3K	5.37
EIF3L	-5.68
EIF3M	-9.24
EIF4A1	2.56
EIF4A2	6.34
EIF4A3	6.97
EIF4B	-7.77
EIF4E	5.11
EIF4E1B	-6.54
EIF4E2	-9.06
EIF4E3	9.05
EIF4EBP1	4.62
EIF4EBP2	5.92
EIF4EBP3	3.73
EIF4ENIF1	4.88
EIF4G1	-7.67
EIF4G2	-3.7
EIF4G3	5.98
EIF4H	9.69
EIF5	-9.93
EIF5A	-2.45
EIF5A2	-8.96
EIF5AL1	-3.31
EIF5B	-1.88
EIF6	7.04
ELAC1	-8.48
ELAC2	6.9
ELANE	7.17
ELAVL1	9.1
ELAVL2	-6.19
ELAVL3	-6.14
ELAVL4	9.23
ELF1	-7.29
ELF2	-4.78
ELF3	-5.99
ELF4	-5.18
ELF5	6.59
ELFN1	6.63
ELFN2	3.36
ELK1	-9.13
ELK3	0.17
ELK4	7.31
ELL	-3.81
ELL2	-7.92
ELL3	9.74
ELMO1	7.94
ELMO2	-1.75
ELMO3	-1.54
ELMOD1	-6.56
ELMOD2	-6.66
ELMOD3	-7.69
ELMSAN1	-1.78
ELN	6.4
ELOF1	-4.16
ELOVL1	8.11
ELOVL2	1.07
ELOVL3	-8.65
ELOVL4	8.15
ELOVL5	-5.94
ELOVL6	1.24
ELOVL7	0.18
ELP2	-1.04
ELP3	-6.84
ELP4	6.18
ELP5	-4.97
ELP6	-0.47
ELSPBP1	-6.55
ELTD1	2.73
EMB	6.27
EMC1	9.13
EMC10	-5.51
EMC2	-2.69
EMC3	-6.68
EMC4	0.22
EMC6	-0.34
EMC7	-4.86
EMC8	5.58
EMC9	2.68
EMCN	-8.4
EMD	-6.38
EME1	-6.27
EME2	-2.39
EMG1	-4.94
EMID1	1.17
EMILIN1	-9.1
EMILIN2	4.29
EMILIN3	-0.44
EML1	-0.63
EML2	9.61
EML3	7.54
EML4	1.04
EML5	-7.91
EML6	1.62
EMP1	-6.67
EMP2	0.19
EMP3	4.35
EMR1	-9.31
EMR2	-9.34
EMR3	0.08
EMX1	-5.02
EMX2	6.67
EN1	-8.78
EN2	-6.48
ENAH	-2.78
ENAM	-8.55
ENC1	-4.51
ENDOD1	0.78
ENDOG	-9.17
ENDOU	-6.96
ENDOV	7.42
ENG	-0.42
ENGASE	-2.14
ENHO	6.69
ENKD1	-9.9
ENKUR	9.69
ENO1	-5.99
ENO2	2.53
ENO3	1.29
ENO4	-3.24
ENOPH1	1.46
ENOSF1	3.83
ENOX1	-4.05
ENOX2	-3.61
ENPEP	7.59
ENPP1	9.08
ENPP2	3.04
ENPP3	-1.42
ENPP4	-3.94
ENPP5	-2.51
ENPP6	-0.76
ENPP7	5.98
ENSA	-1.98
ENTHD1	6.75
ENTHD2	4.65
ENTPD1	-8.42
ENTPD2	5.52
ENTPD3	-3.69
ENTPD4	7.26
ENTPD5	2.6
ENTPD6	-3.42
ENTPD7	-5.7
ENTPD8	2.16
ENY2	-1.34
EOGT	4.24
EOMES	-6.54
EP300	-3.79
EP400	6.1
EPAS1	-5.58
EPB41	-7.87
EPB41L1	-4.15
EPB41L2	-0.94
EPB41L3	-5.65
EPB41L4A	-2.92
EPB41L4B	-9.61
EPB41L5	-3.92
EPB42	-3.89
EPC1	-8.94
EPC2	-6.99
EPCAM	-7.77
EPDR1	-3.54
EPG5	-7.83
EPGN	-7.32
EPHA1	-6.74
EPHA10	-8.74
EPHA2	-1.65
EPHA3	3.56
EPHA4	-1.55
EPHA5	4.42
EPHA6	-1.22
EPHA7	7.94
EPHA8	3.51
EPHB1	-6.43
EPHB2	-5.07
EPHB3	-9.72
EPHB4	-1.93
EPHB6	-9.46
EPHX1	7.35
EPHX2	9.59
EPHX3	1.12
EPHX4	5.43
EPM2A	2.97
EPM2AIP1	2.58
EPN1	3.91
EPN2	9.88
EPN3	6.58
EPO	-5.29
EPOR	-6.57
EPPIN	6.63
EPPIN-WFDC6	-6.12
EPPK1	2.33
EPRS	-4.63
EPS15	-3.92
EPS15L1	-7.57
EPS8	-6.22
EPS8L1	-0.53
EPS8L2	8.91
EPS8L3	-8.92
EPSTI1	-4.51
EPT1	-4.45
EPX	-9.11
EPYC	-8.8
EQTN	4.99
ERAL1	3.12
ERAP1	0.97
ERAP2	9.55
ERAS	-0.03
ERBB2	6.08
ERBB2IP	7.89
ERBB3	-8.06
ERBB4	3.03
ERC1	-3.01
ERC2	-2
ERCC1	2.36
ERCC2	3.38
ERCC3	4.68
ERCC4	3.44
ERCC5	5.27
ERCC6	0.06
ERCC6L	1.89
ERCC6L2	-4.81
ERCC8	2.75
EREG	-0.11
ERF	7.8
ERG	1.58
ERGIC1	6.46
ERGIC2	6.32
ERGIC3	5.28
ERH	-2.26
ERI1	2.18
ERI2	-3.69
ERI3	2.76
ERICH1	4.46
ERLEC1	1.85
ERLIN1	-2.58
ERLIN2	5.16
ERMAP	8.57
ERMARD	2.71
ERMN	4.09
ERMP1	-7.12
ERN1	7.53
ERN2	-9.16
ERO1L	-0.78
ERO1LB	-0.73
ERP27	8.84
ERP29	-2.16
ERP44	-6.83
ERRFI1	9.51
ERV3-1	-4.51
ERVFRD-1	1.14
ERVV-1	3.88
ERVV-2	-5.71
ERVW-1	9.83
ESAM	-4.68
ESCO1	2.6
ESCO2	-3.75
ESD	3.62
ESF1	-1.92
ESM1	-7.04
ESPL1	4.36
ESPN	-2.15
ESPNL	5.6
ESR1	7.56
ESR2	2.43
ESRP1	4.13
ESRP2	1.49
ESRRA	2.48
ESRRB	-3.97
ESRRG	-0.7
ESX1	7.51
ESYT1	-7.89
ESYT2	-1.49
ESYT3	-6.59
ETAA1	6.51
ETF1	-3.01
ETFA	-8.17
ETFB	9.77
ETFDH	5.53
ETHE1	-8.63
ETNK1	-8.16
ETNK2	-9.16
ETNPPL	-9.03
ETS1	0.93
ETS2	7.37
ETV1	-3.69
ETV2	-7.19
ETV3	-1.61
ETV3L	5.98
ETV4	-3.3
ETV5	2.42
ETV6	-4.57
ETV7	-6.29
EVA1A	8.51
EVA1B	-8.94
EVA1C	-9.16
EVC	1.66
EVC2	5.34
EVI2A	-3.49
EVI2B	-0.8
EVI5	5.73
EVI5L	-1.14
EVL	5.92
EVPL	-2.26
EVPLL	0.76
EVX1	-0.7
EVX2	-2.04
EWSR1	-1.25
EXD1	2.24
EXD2	8.72
EXD3	-0.52
EXO1	2.5
EXO5	-2.42
EXOC1	0.9
EXOC2	2.73
EXOC3	0.66
EXOC3L1	-2.83
EXOC3L2	7.27
EXOC3L4	2.11
EXOC4	-3.24
EXOC5	4.07
EXOC6	0.16
EXOC6B	-9.46
EXOC7	-8.17
EXOC8	3.73
EXOG	3.89
EXOSC1	0.66
EXOSC10	4.82
EXOSC2	4.04
EXOSC3	-0.76
EXOSC4	-4.66
EXOSC5	1.87
EXOSC6	-2.21
EXOSC7	3.54
EXOSC8	-2.04
EXOSC9	-7.01
EXPH5	1.52
EXT1	-3.83
EXT2	3.17
EXTL1	6.14
EXTL2	-3.17
EXTL3	-3.22
EYA1	-7.24
EYA2	-1.05
EYA3	-5.59
EYA4	-2.03
EYS	-4.14
EZH1	7.53
EZH2	8.4
EZR	6.76
F10	-7.37
F11	1.36
F11R	7.96
F12	-4.02
F13A1	-4.23
F13B	5
F2	-0.41
F2R	-8.11
F2RL1	8.02
F2RL2	0.29
F2RL3	9.24
F3	1.95
F5	0.42
F7	-4.51
F8	-4.03
F8A1	1.55
F8A2	4.48
F8A3	0.47
F9	-8.19
FA2H	-1.29
FAAH	-4.95
FAAH2	1.02
FABP1	-2.92
FABP12	7.32
FABP2	0.42
FABP3	-8.17
FABP4	-1.67
FABP6	7.7
FABP7	-4.64
FABP9	7.38
FADD	-7.79
FADS1	-7.23
FADS2	0.67
FADS3	1.75
FADS6	-5.84
FAF1	5.51
FAF2	6.86
FAH	7.23
FAHD1	-5.86
FAHD2A	-6.88
FAHD2B	6.65
FAIM	-5.97
FAIM2	-7.64
FAIM3	-5.33
FAM101A	-2.3
FAM101B	-6.6
FAM102A	-4.99
FAM102B	6.04
FAM103A1	-6.14
FAM104A	4.42
FAM104B	8.85
FAM105A	5.37
FAM105B	9.09
FAM107A	-3.67
FAM107B	-6.49
FAM109A	-1.85
FAM109B	6.49
FAM110A	9.2
FAM110B	-7.89
FAM110C	4.65
FAM110D	-2.25
FAM111A	-0.66
FAM111B	2.87
FAM114A1	6.34
FAM114A2	-1.29
FAM115A	-3.84
FAM115C	7.12
FAM117A	-6.01
FAM117B	5.11
FAM118A	3.18
FAM118B	-0.58
FAM120A	2.02
FAM120AOS	6.55
FAM120B	2.26
FAM120C	9.88
FAM122A	-6.35
FAM122B	-7.2
FAM122C	2.85
FAM124A	-1.19
FAM124B	-5.64
FAM126A	-1.17
FAM126B	8.14
FAM127A	6.26
FAM127B	-3.68
FAM127C	-2.66
FAM129A	-8.21
FAM129B	-4.6
FAM129C	-4.17
FAM131A	7.5
FAM131B	-8.75
FAM131C	-6.01
FAM132A	-3.61
FAM133A	-2
FAM133B	1.54
FAM134A	8.48
FAM134B	8.15
FAM134C	7.67
FAM135A	-4.81
FAM135B	-1.23
FAM136A	-9.8
FAM13A	8.7
FAM13B	-3.36
FAM13C	-1.85
FAM149A	-1.73
FAM149B1	6.09
FAM150A	-0.16
FAM150B	-5.24
FAM151A	-7.29
FAM151B	9.85
FAM153A	7.82
FAM153B	8.16
FAM154A	-4.43
FAM154B	8.51
FAM155A	-9.81
FAM155B	-1.86
FAM156A	-0.15
FAM156B	-0.13
FAM157A	9.71
FAM157B	-7.81
FAM159A	-0.52
FAM159B	-5.82
FAM160A1	4.8
FAM160A2	5.08
FAM160B1	6.43
FAM160B2	0.44
FAM161A	-8.55
FAM161B	-0.02
FAM162A	-9.37
FAM162B	4.21
FAM163A	-8.89
FAM163B	4.79
FAM166A	-0.36
FAM166B	-6.6
FAM167A	6.82
FAM167B	-5.95
FAM168A	9.66
FAM168B	-8.04
FAM169A	1.23
FAM169B	-9.28
FAM170A	-0.28
FAM170B	-4.09
FAM171A1	-8
FAM171A2	4.81
FAM171B	-8.85
FAM172A	-9.62
FAM173A	-8.72
FAM173B	8.92
FAM174A	8.41
FAM174B	3.12
FAM175A	-0.66
FAM175B	-3.05
FAM177A1	1.51
FAM177B	0.57
FAM178A	-9.39
FAM178B	-2.44
FAM179A	4.02
FAM179B	-3.81
FAM180A	5
FAM180B	2.65
FAM181A	2.99
FAM181B	4.74
FAM183A	1.47
FAM184A	-8.16
FAM184B	-5.23
FAM185A	-0.5
FAM186A	4.99
FAM186B	6.9
FAM187B	-9.95
FAM188A	7.97
FAM188B	-4.9
FAM189A1	7.95
FAM189A2	-4.76
FAM189B	1.88
FAM192A	-9.56
FAM193A	4.04
FAM193B	6.35
FAM194A	-5.01
FAM194B	6.36
FAM195A	-4.86
FAM195B	-4.69
FAM196A	-7.73
FAM196B	-0.08
FAM198A	3.08
FAM198B	-8.29
FAM199X	6.36
FAM19A1	-4.42
FAM19A2	-7.29
FAM19A3	-8.4
FAM19A4	-9.17
FAM19A5	-2.13
FAM200A	0.7
FAM200B	2.42
FAM203A	-6.72
FAM204A	-4.23
FAM205A	0.75
FAM206A	-8.43
FAM207A	0.92
FAM208A	2.2
FAM208B	9.46
FAM209A	6.61
FAM209B	-3.56
FAM20A	-2.1
FAM20B	3.72
FAM20C	-5.92
FAM210A	1.55
FAM210B	9.03
FAM211A	4.55
FAM211B	2.07
FAM212A	2.86
FAM212B	5.28
FAM213A	-8.55
FAM213B	9.28
FAM214A	5.67
FAM214B	0.37
FAM216A	5.21
FAM216B	-8
FAM217A	-2.62
FAM217B	-8.43
FAM218A	-5.65
FAM219A	6.64
FAM219B	0.63
FAM21A	-8.06
FAM21B	4.17
FAM21C	6.4
FAM220A	-2.85
FAM221A	3.65
FAM221B	-0.43
FAM222A	-3.6
FAM222B	-3.06
FAM227A	-3.94
FAM227B	7.86
FAM228A	1.34
FAM228B	-6.23
FAM229A	6.61
FAM229B	-8.54
FAM231A	-9.39
FAM24A	1.2
FAM24B	6.29
FAM25A	-3.25
FAM25B	-2.13
FAM25C	1.08
FAM25G	4.68
FAM26D	-5.31
FAM26E	-0.7
FAM26F	-2.08
FAM32A	8.03
FAM35A	-0.51
FAM3A	-3.34
FAM3B	7.6
FAM3C	6.47
FAM3D	-6.86
FAM43A	4.67
FAM43B	4.94
FAM45A	-9.08
FAM46A	1.15
FAM46B	-2.53
FAM46C	3.72
FAM46D	6.92
FAM47A	-0.51
FAM47B	-7.83
FAM47C	-3.36
FAM47E	-0.14
FAM47E-STBD1	2.5
FAM49A	-1.5
FAM49B	5.49
FAM50A	-2.27
FAM50B	2.63
FAM53A	3.49
FAM53B	7.31
FAM53C	7.83
FAM57A	-8.47
FAM57B	-9.66
FAM58A	-3.99
FAM60A	1.95
FAM63A	-8.8
FAM63B	-2.36
FAM64A	7.04
FAM65A	-9.52
FAM65B	2.08
FAM65C	-4.76
FAM69A	-6.97
FAM69B	9.39
FAM69C	-6.27
FAM71A	-5.37
FAM71B	4.33
FAM71C	-9.44
FAM71D	9.78
FAM71E1	9.36
FAM71E2	1.89
FAM71F1	9.47
FAM71F2	-1.07
FAM72A	-0.68
FAM72B	-3.64
FAM72C	-2.95
FAM72D	-0.35
FAM73A	-9.09
FAM73B	8.69
FAM76A	6.66
FAM76B	3.87
FAM78A	8.57
FAM78B	7.86
FAM81A	-3.23
FAM81B	5.79
FAM83A	1.19
FAM83B	3.39
FAM83C	-7.83
FAM83D	2.87
FAM83E	6.87
FAM83F	-4.8
FAM83G	-3.08
FAM83H	-2.61
FAM84A	5.86
FAM84B	3.4
FAM86A	2.17
FAM86B1	-6.17
FAM86B2	4.26
FAM86C1	5.38
FAM89A	7.75
FAM89B	-1.35
FAM8A1	7.03
FAM90A1	-5.01
FAM91A1	-8.62
FAM92A1	-1.46
FAM92B	-0.08
FAM96A	-6.77
FAM96B	6.5
FAM98A	-3.73
FAM98B	-9.6
FAM98C	-5.86
FAM9A	-8.84
FAM9B	3.42
FAM9C	3.13
FAN1	6
FANCA	4.18
FANCB	1.28
FANCC	9.22
FANCD2	-8.05
FANCD2OS	9.94
FANCE	3.45
FANCF	-9.65
FANCG	-4.39
FANCI	9.82
FANCL	-5.48
FANCM	4.13
FANK1	8.91
FAP	-7.6
FAR1	-8.22
FAR2	7.58
FARP1	-0.34
FARP2	2.29
FARS2	-5.16
FARSA	2.59
FARSB	-4.36
FAS	-5.71
FASLG	-1.41
FASN	7.35
FASTK	-6.33
FASTKD1	2.05
FASTKD2	-2.43
FASTKD3	-1.63
FASTKD5	8.82
FAT1	3.68
FAT2	-6.65
FAT3	1.19
FAT4	5.97
FATE1	-3.74
FAU	-0.41
FAXC	8.72
FAXDC2	-3.47
FBF1	4.87
FBL	7.16
FBLIM1	4.15
FBLN1	4.65
FBLN2	1.34
FBLN5	9.62
FBLN7	-9.12
FBN1	3.9
FBN2	7.55
FBN3	9.41
FBP1	2.71
FBP2	8.67
FBRS	-0.02
FBRSL1	-9.26
FBXL12	-4.54
FBXL13	0.44
FBXL14	-0.53
FBXL15	-1.81
FBXL16	2.75
FBXL17	-6.8
FBXL18	-6.09
FBXL19	-6.25
FBXL2	9.03
FBXL20	-8.18
FBXL21	9.1
FBXL22	-9.17
FBXL3	-7.93
FBXL4	-7.52
FBXL5	-7.52
FBXL6	4.72
FBXL7	1.47
FBXL8	-2.34
FBXO10	2.89
FBXO11	-3.35
FBXO15	7.12
FBXO16	-5.89
FBXO17	-8.49
FBXO18	9.29
FBXO2	-5.13
FBXO21	-0.49
FBXO22	-5.5
FBXO24	-7.52
FBXO25	-4.69
FBXO27	5.96
FBXO28	2.06
FBXO3	-0.32
FBXO30	0.87
FBXO31	6.46
FBXO32	5.03
FBXO33	-0.08
FBXO34	-8.13
FBXO36	-5.53
FBXO38	3.29
FBXO39	8.17
FBXO4	5.51
FBXO40	-3.12
FBXO41	-4.27
FBXO42	2.5
FBXO43	-0.4
FBXO44	-7.97
FBXO45	3.48
FBXO46	-7.89
FBXO47	-1.7
FBXO48	-9.96
FBXO5	-3.74
FBXO6	-2.38
FBXO7	0.18
FBXO8	3.04
FBXO9	2.5
FBXW10	-8.88
FBXW11	-3.22
FBXW12	4.39
FBXW2	3.67
FBXW4	9.05
FBXW5	-1.68
FBXW7	5.1
FBXW8	5.23
FBXW9	9.28
FCAMR	3.49
